Name,Team,Type,National Side,Born,Age,Bowling,Batting Style,Sport,MatchPlayed,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shreyas Gopal,SRH,Bowler ,India,"September 4, 1993 Banglaore, Karnataka","28 Years, 6 Months, 11 Days",Leg break,Right Handed,IPL,48,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fazalhaq Farooqi,SRH,Bowler ,Afghanistan,"September 22, 2000 Baghlan","21 Years, 5 Months, 23 Days",Left-arm medium,Right Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vishnu Vinod,SRH,Wicket-Keeper ,India,"December 2, 1993 Pathanamthitta, Kerala","28 Years, 3 Months, 13 Days",,Right Handed,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Priyam Garg,SRH,Batsman ,India,"November 30, 2000 Meerut, Uttar Pradesh","21 Years, 3 Months, 15 Days",Right-arm medium,Right Handed,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saurabh Dubey,SRH,Bowler ,India,"January 23, 1998","24 Years, 1 Months, 20 Days",Left-arm medium fast,Right Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jagadeesha Suchith,SRH,Bowler ,India,"January 16, 1994 Mysore","28 Years, 2 Months, -1 Days",Slow left-arm orthodox,Left Handed,IPL,17,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shashank Singh,SRH,All-Rounder ,India,"November 21, 1991 Bhilai","30 Years, 3 Months, 25 Days",Off break,Right Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravikumar Samarth,SRH,Batsman ,India,"January 22, 1993","29 Years, 1 Months, 21 Days",,,Cricket,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sanju Samson,RR,Wicket-Keeper ,India,"November 11, 1994 Pulluvila, Vizhinjam, Trivandrum","27 Years, 4 Months, 4 Days",,Right Handed,,121,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prasidh Krishna,RR,Bowler ,India,"February 19, 1996 Bangalore, Karnataka","26 Years, 0 Months, 25 Days",Right-arm medium fast,Right Handed,IPL,34,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jos Buttler,RR,Wicket-Keeper ,England,"September 8, 1990 Taunton, Somerset","31 Years, 6 Months, 7 Days",,Right Handed,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shimron Hetmyer,RR,Batsman ,West Indies,"December 26, 1996 Cumberland, Berbice","25 Years, 2 Months, 20 Days",,Left Handed,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trent Boult,RR,Bowler ,New Zealand,"July 22, 1989 Rotorua","32 Years, 7 Months, 24 Days",Left-arm fast medium,Right Handed,IPL,62,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devdutt Padikkal,RR,Batsman ,India,"July 7, 2000 Edapal, Kerala","21 Years, 8 Months, 8 Days",Off break,Left Handed,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuzvendra Chahal,RR,Bowler ,India,"July 23, 1990 Jind, Haryana, India","31 Years, 7 Months, 23 Days",Leg break googly,Right Handed,IPL,114,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravichandran Ashwin,RR,All-Rounder ,India,"September 17, 1986 Chennai, Tamil Nadu","35 Years, 5 Months, 28 Days",Off break,Right Handed,IPL,167,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yashasvi Jaiswal,RR,Batsman ,India,"December 28, 2001 Suriya, Uttar Pradesh","20 Years, 2 Months, 18 Days",Leg break,Left Handed,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riyan Parag,RR,All-Rounder ,India,"November 10, 2001 Guwahati, Assam","20 Years, 4 Months, 5 Days",Leg break,Right Handed,IPL,30,,,,,,,,,,,,,,,,,,,,,,,,,,,
Navdeep Saini,RR,Bowler ,India,"November 23, 1992 Karnal, Haryana","29 Years, 3 Months, 22 Days",Right-arm fast,Right Handed,IPL,28,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nathan Coulter-Nile,RR,Bowler ,Australia,"October 11, 1987 Osborne Park, Western Australia","34 Years, 5 Months, 5 Days",Right-arm fast,Right Handed,IPL,38,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Neesham,RR,All-Rounder ,New Zealand,"September 17, 1990 Auckland","31 Years, 5 Months, 28 Days",Right-arm medium fast,Left Handed,IPL,12,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karun Nair,RR,Batsman ,India,"December 6, 1991 Jodhpur, Rajasthan","30 Years, 3 Months, 10 Days",Off break,Right Handed,,73,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rassie van der Dussen,RR,Batsman ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obed McCoy,RR,Bowler ,West Indies,"January 4, 1997","25 Years, 2 Months, 11 Days",Left-arm medium fast,Left Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daryl Mitchell,RR,All-Rounder ,New Zealand,"May 20, 1991 Hamilton","30 Years, 9 Months, 27 Days",Right-arm medium,Right Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KC Cariappa,RR,Bowler ,India,"April 13, 1994 Bangalore, Karnataka","27 Years, 11 Months, 2 Days",Leg break,Right Handed,IPL,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tejas Baroka,RR,Bowler ,India,"February 1, 1996 Pondicherry","26 Years, 1 Months, 12 Days",Leg break googly,Right Handed,IPL,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuldip Yadav,RR,Bowler ,India,"October 15, 1996","25 Years, 5 Months, 0 Days",Left-arm medium fast,Left Handed,IPL,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dhruv Jurel,RR,Wicket-Keeper ,India,"January 21, 2001 Agra, Uttar Pradesh","21 Years, 1 Months, 22 Days",,Right Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuldeep Sen,RR,Bowler ,India,"October 22, 1996 Rewa, Madhya Pradesh, India","25 Years, 4 Months, 24 Days",Right-arm fast medium,Right Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shubham Garhwal,RR,All-Rounder ,India,"May 14, 1995 Jodhpur, Rajasthan","26 Years, 10 Months, 2 Days",Slow left-arm orthodox,Left Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anunay Singh,RR,All-Rounder ,India,"January 3, 1993 Vaishali, Bihar","29 Years, 2 Months, 12 Days",Right-arm medium,Right Handed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
